;Modele;Constructeur;Type;Conso;Surface Alaire ;Envergure;Allongement;Range;Mach cruise;Mach max;WTO max ;WLA max ;Wfuel max ;Wempty;Poussee 
_;A321;Airbus;Long courrier;0.51;1315.5;114.83;10.02;7400;0.78;0.82;213848;174165.2;32940;16670;66219.7
_;B737;Boeing;Long courrier;0.55;1341.2;110;9.02;3000;0.79;0.85;174198;154323;6875;83000;40465.6
_;A320neo;Airbus;Long courrier;0.51;1313;117;10.43;3400;0.78;0.82;174165;148591;7060;141800;54000
_;A321neoXLR;Airbus;Long courrier;0.52;1313;115;10.07;4697;0.78;0.82;213800;164850;9000;166700;64317.8
_;A320;Airbus;Long courrier;0.5;1313;117.5;10.52;3400;0.84;0.82;172000;145500;7190;137800;53054.9
_;A220;Airbus;Long courrier;0.42;1208;115;10.95;3400;0.78;0.82;139000;119500;5760;115000;46580
_;A330;Airbus;Long courrier;0.54;3892;210;11.33;8150;0.82;0.86;533400;410050;36750;388000;139381.5
_;A350-900;Airbus;Long courrier;0.53;4768;212.5;9.47;8300;0.85;0.89;623900;456400;43981;431400;168157
_;A350-1000;Airbus;Long courrier;0.53;4768;212.5;9.47;8700;0.85;0.89;703200;520300;43324;491600;193785.3
_;ACJ220;Airbus;jet;0.39;1206;115;10.97;5650;0.78;0.83;139000;112500;7550;108000;48558.7
_;B777;Boeing;Long courrier;0.57;4702;212;9.56;7370;0.83;0.89;775002;554000;47889;315261;230600
_;ACJ319neo;Airbus;jet;0.51;1189;111;10.36;6750;0.82;0.87;170417;140875;9880;132939;63380
_;ACJ320neo;Airbus;jet;0.52;1223;117.5;11.29;6000;0.83;0.87;174165;148592;9880;141757;63380
_;ACJ330;Airbus;jet;0.53;3875;210;11.38;10400;0.82;0.86;553400;410060;36750;388000;65000
_;B747;Boeing;Long courrier;0.57;5650;211;7.88;7585;0.855;0.92;910000;652000;63702;412300;253200
;;;;;;;;;;;;;;;
;;;;;ft^2;ft;;mn;;;lb;lb;USG;lb;lb
